id,name,description,deck
104,The Journeyman Project Legacy of Time,future past sanctity history urgent mission time distortion hidden deep past message fugitive race time past mythical future destruction instinct ingenuity key survival time assume multiple ancient way intricate web success future humanity,nice nice nice game noticeable lack story sloppy annoying feature
105,Deer Hunter,addictive experience in-game online intense competition variety off-road hunt wide assortment realistic adventure two-player split-screen mode cooperative competitive play strategy ultimate hunt,console game online tournament mode
108,Prince of Persia Arabian Nights,Good time unbridled passion adventure blood-pumping action mystical place humble servant th century prince adventure perilous journey death true original series fast combat game depth challenge timeless adventure animation technology rightful place legendary history strong design storyline conjunction legendary series creator dozen exotic distinct path real-time sword prowess mystical gut corner,tragic good
109,Centipede ,perilous dangerous squishy floor side air slimy closing antenna jump magic wand body new fierce venomous poisonous alive,new own magic original
110,Gabriel Knight Blood of the Sacred Blood of the Damned,remote French village town pursuit child story unfold sacred bloodline boundless treasure shadow hunter companion inescapable path ultimate destiny dark mystery secret,several experience die-hard series
112,Total Annihilation The Core Contingency,Total experience new new new new Total all-new amphibious assault hovercraft underwater surprising sea-based amphibious outcome eternal battle all-new special bonus mission powerful new arsenal land sea air combat havoc giant same tool own unique computer multiplayer player new multiplayer,new material good thing
114,Triple Play ,other first-person batting mode draft person play-by-play schedule,Triple way realistic baseball sim
120,Dominion Storm Over Gift ,future violence war real-time strategy kind action second real time quick sophisticated cooperative group feint multiplayer cooperative Incredible gameplay animation speed real-time strategy game name own personality race animation real-time strategy game on-line technology,tedious real-time difficulty bland presentation wrong choice genre
121,Tribal Rage,year war famine plague precious safe bad search destroy little law gorgeous good ol struggle future desperate outrageous post-apocalyptic real-time strategy game game wide variety play player other many age v addition unlimited replayability computer unique time wide variety age scenario tribe editor own battle,postapocalyptic battle wacky domination planet
122,Messiah,working-class angel putrid sleazy world future power person animal soul help cripple impale sinner pain citizen world freedom technology detailed machine machine capacity part PC potential hard drive maximum output half engine unlimited unlimited level size other game control different giant living soul real attack world unique flame action shot machine rocket harpoon ice realistic damage Dead,short memorable many uninspired jumping
124,Need for Speed III Hot Pursuit,exotic race performance realism fierce competition mode race law cop radar racer law feature such mud smoke rubber ultimate test,game
125,Heart of Darkness,world world cruel absolute power army fiendish force land search young boy dog nightmare epic whole host weird triumphant seamless film action twist swim fiendish,platform puzzle game
126,NFL Blitz,easy unparalleled action speed game highlight film football gameplay easy action simple point-and-shoot passing rain mud night,addictive game
130,Commandos Behind Enemy Lines,real-time game command small squad elite enemy series hazardous alive strategy action-packed enemy careful plan fierce attack power skill,original game precision
131,Links LS ,own own world-class golf beautiful fall foliage birthplace golf red southern tournament shot addition original realism level useful hole Real-Time new audio-compression technology realistic panorama crowd own game play realistic ball-flight golf expansion tournament year playability game superfast redraws fog other visual realism legend workshop office trophy room in-depth dozen new off-line computer internet competition,engine well-rounded software market
133,Age of Empires II The Age of Kings,civilization greatness command fall Japanese different unique combat unit historical counterpart several world domination ultimate victory domination economic victory accumulation wealth building world sequel scope gameplay combat economic,other real-time strategy game classical style much credit
134,Caesar III,provincial governor glory mission clear build trade industry money wealth power career emperor battle youll end lunch strength mind spirit,small city fun
136,The Game of Life,classic family board game life college career family house golden spin,PC conversion charm original little formula
137,Fallout ,sequel game dynamic apocalyptic retro-future ancestor trod primitive village path strewn radiation megalomaniac relentless stream treachery anyone anything new world character survival post-nuclear world future moment everyone adventure do-it-yourself brain shiny new robot body combat own group burst shot couple opportunity dangerous new sure side smarter few town love get little extra chump-change dark dangerous world new available course exquisite art uncanny timing expert trigger new next guy,role-playing game intact several
138,Jeopardy ,fine art know-it-all television question form anyone earshot calmly opportunity all-new version television longest-running game show television studio theme music voice photography full graphic sound sure last many re-runs smart choice,version popular gameshow available PlayStation
139,Heroes of Might and Magic III,Murder treachery resurrection savage freedom undead warlord ruthless invasion former resistance daughter army elite Enrothian land conflict family rightful reign free dark prison undead body pre-rendered new x high resolution color world ease-of-use turn-based game play environment pace new different different combat empire tradition award-winning series top talent technology game industry realistic character genre hot-seat connection com,doubt port PC version version formula strategy
140,Turok Seeds of Evil,dark game big distant deadly ferocious multi-player,landmark shooter must-buy
142,Wheel of Fortune ,favorite game contestant- compete friend match computer fun game real thing wheel fortune vowel,popular TV game
152,Smart Games Challenge ,Smart brain-bending fun new level addictive something everyone strategy logic music word perception own member mind,wide many mind
153,Star Wars Rogue Squadron D,evil co-founder elite evil intense fast-paced planetary air-to-ground air-to-air search destroy reconnaissance rescue powerful other,fan level
154,Tomb Raider III Adventures of Lara Croft,adventure date phenomenal series huge order ancient meteor life-giving few old infamous await icy mysterious ready anything,interest series third
155,FIFA ,club way European slide new semi-auto skill new lifelike new,deep real slick interface
156,Asteroids,spaceship asteroid belt asteroid spaceship enemy spacecraft enemy,rental straight-up purchase way wrong
157,Thief The Dark Project,treacherous subterranean dark sinister city blackjack sword assortment unique money unravelling story deception revenge world trust option confrontation death,emphasis stealth strategy ingenuity strong narrative structure excellent mission design game stylish serious rewarding unique
166,Uprising Lead and Destroy,direct sequel century bloody galactic battle horde intelligent bloodthirsty human life alien menace second-generation battle tank way brutal maxed-out power disposal,notable part positive game minor
167,Gangsters,Chicago-like town prohibition period strategy game crime extortion intimidation execution bloody gang warfare world mob bos goal empire rival home pine,many big picture
168,Baldur's Gate,other bag gold half-dozen keg bitter black ale ye murderous evil adventure ye hand tail time drab humdrum world time steel double nothing,ambitious game
170,King's Quest Mask of Eternity,storyteller best-selling series millennium revolutionary blend technology gameplay d action universe mythical hand-to-hand combat deep compelling tale struggle kingdom action intelligent exploration,vast sprawling experiment short goal enjoyable noteworthy nonetheless
172,Heavy Gear II,threat full-scale enemy invasion war machine enemy stealth reconnaissance death-defying drive world independence Special squad chance,impressive game giant robot genre
179,Carmageddon Carpocalypse Now,sensational 'Game smash trash blockbuster ride history major dose tight wheel cause fender mayhem multitude manic feast formidable race annihilate anything everything path trash crumple blast skid jump sick bag realism new manic mission new freedom power stunt possible drive,adverse little lowbrow humor lot violence plenty action fun
189,Earthworm Jim D,spineless superhero action incredible journey cheese-curdling unconscious massive cow-induced blow head clad indestructible high-tech super suit battle truth justice soil sure help fun-house brain beware evil presence mind dark unseen force work brain dangerous place game psyche face own happiness environment large wild pig-sliding grandma weird area trigger ready action,something
191,Indiana Jones and the Infernal Machine,nazis Soviet ancient ruin whip fedora join race mysterious unusual oh way action-packed story world exotic course trusty whip revolver,repetitive range other flaws game major-league
192,Myst,island world mystery rock scrap paper sound clue ancient mystery beautiful landscape intrigue injustice imagination power virtual exploration observation,adventure mysterious island wrong unchecked
193,Quake II,alien surface few way military city war machine fate humanity,thing certain first-person shooter original
194,Motorhead,futuristic fluid rush race futuristic landscape speed downtown skill legendary ultimate skill intelligence devilish dash deviousness,ardent
195,Warzone ,war safe barbaric world bitter territory real time strategy new dimension ultimate war machine unique fast-action combat ruthless,navigable engine unique campaign structure multiplayer real-time strategy
197,Fox Sports Golf ' ,way world famous brand new live interactive commentary real championship golf action,addictive golfing sim other worth look
198,Battleship ,own fleet ruthless combat high enemy unfriendly plan hit red alert opponent victory carrier destroyer opponent fleet own full speed own cunning plan opponent classic game strategy timeless warfare new special wage war depth game different last,game intricate strategic guess-fest
199,Age of Empires,real-time strategy game spirit evolution small stone age minimal great several game enemy accumulation wealth,game definite
203,Test Drive Off-Road ,game world famous killer mud rooster ocean surf sand bash bump mud competition new support real whiplash,better-playing racing game
205,Final Fantasy VII,natural resource planet life force dawn new era energy world mako production powerful hegemony influence globe former member military organization anti-Shinra resistance group little group company nemesis reemergence planet danger anyone fate world success threat,technology playability narrative
206,Heretic II,Heretic revelation other intense action awe-inspiring third-person gameplay true out-of-body experience engine fluid animation gameplay special environmental realism smart camera action magical unleash instinctive gymnastic warrior heresy fast-paced action immersive perspective deathmatch multiplayer developer universe rich gameplay word legendary,world beautiful place
207,Requiem Avenging Angel,first-person action game biblical world siege war way immersive futuristic world possession blood boil locust ability salt prayer,story good character interaction angelic game many other
208,Commandos Beyond the Call of Duty,active service series new dangerous experience action rookie opportunity tactical ability limit leader small elite unit deep enemy territory new new new difficulty new,shadow former self original
213,South Park,giant anal-probing big evil game big big fat as lame tree-hugging favorite Authentic way mega four-player action,game
215,Midtown Madness,wheel race madman chance way traffic deep dish pizza everything sign wrong way gun-it drawbridge unique ten unique wide-open unbridled pedal-to-the-metal antitode rush-hour racin style,sophisticated lot fun
218,RollerCoaster Tycoon,enough chance own park scratch park new array roller coaster theme coaster-motion ultimate disaster sure park success,potential good niche market part
219,Legacy of Kain Soul Reaver,material world mysterious entity vengeance betrayal master dark realm undead energy spectral material plane blood-chilling goal final battle,long-awaited sequel different animal predecessor
223,VR Sports Powerboat Racing,realistic immersive powerboat game pas speed oil track boat lead opponent river hour Unpredictable interactive driver turbulence water front speed power worthy race memory card friend house Jaw-Dropping water crash full super-intense,fan powerboat neat video game
224,Wetrix,rainstorm fierce home addictive puzzle game time sky series heavy water simple mix few natural bomb strategy skill nature fury,
226,Star Trek Klingon Academy,courage glory death ready path warrior warrior new generation inevitable conflict mentor battle warship command glorious battle fate stake day,ambitious simulation plenty original gameplay presentation
228,Interstate ' ,auto-terrorism all-time high crisis road warrior crisis own long-time partner mark mother vehicular combat top secret entire country-to brink,cohesive generic
230,Revenant,warrior age powerful warlord daughter myriad sinister magic host fearsome fighting existence current series,great-looking game fun
232,Homeworld,massive star fleet epic journey home harsh desert world home brutal empire bent annihilation huge environment new fleet harsh environment deep space unique command navigation interface support multiplayer connection white-knuckle real-time strategy,excellent game entire real-time strategy genre
243,Star Trek The Next Generation Birth of the Federation,vast galaxy choice strategy diplomacy helm turn-based -D space combat imagination conquer vast galaxy stellar special intelligence other net diplomacy ability technology espionage necessary maintain test turn-based -D space combat different unique individual potential invasion immersive soundtrack game different galaxy,good game willing interface amount micromanagement
252,Star Trek The Next Generation Klingon Honor Guard,universe fast-paced high-action first-person shooter engine assassination attempt leader revenge member elite brutal combat galaxy blood oath ultimate warrior exact glorious revenge vicious onslaught veteran huge unique unique assault particle dispersal formidable enemy razor-sharp enemy throat cooperative mission-based own holodeck battle close-in k tahg veteran popular,decent action game franchise
253,Official Formula Racing,energy power commitment professionalism essential lifestyle lifestyle control turn circuit famous official detail satisfaction enjoyment ultimate realism 'Simulation mode fun mode choice,Official moderate success serious simulation
260,Star Wars X-Wing Alliance,neutral family business-and survival-and struggle strong-arm rival family nothing trading company series uncover information second finale legendary massive fleet X-Wing middle epic conflict-and space combat new,X-Wing last game many X-Wing v
261,Worms Armageddon,intrepid vengeance much-loved whole new hilarious fun own,game fact enjoyable strategy
264,Dungeon Keeper ,own dungeon empire underground kingdom dungeon variety such evil battle magical invading heroic good final knockout blow evil quest,impossible something
266,Need for Speed High Stakes,mode race car real-life real car damage side law traffic weather night,much extra play big feature
268,Madden NFL ,speed power football speed explosive sticking gang helmet-popping special in-your-face commentary authentic stadium,series incarnation series
269,NHL ,stick head ice hockey action expansion team team authentic reallife exhibition game play tournament team hockey action worthy history,virtual hockey
270,Diplomacy ,wit sharp sword true spirit legendary board game pre-WWI,interface artificial intelligence terrible multiplayer support buggy
271,Missile Command,year earth fire alien mission earth wave alien attack ability new counter offensive mankind,piece proof good
275,Shadow Man,man spirit world real world dead man hand other voodoo mask chest power evil soul,game undead lifeless problem
278,System Shock ,cold chill cryo-tube cybernetic flesh crew starship roam rogue artificial intelligence feeble attempt mystery derelict starship military unique weaponry paranormal psionic weapon proficiency psionic cryptic audio conduct research advantage combat unlock exotic multiplayer co-op co-op,predecessor fresh experience own right
279,Darkstone,peaceful world dark shadow dragon virus deep dragon slayer immersive vivid addictive gameplay playable interactive different,few good thing right
280,Tomb Raider The Last Revelation,Egyptian legend son evil secret tomb tomb evil ancient prophecy return mankind darkness race time wit skill world arch-rival unscrupulous archaeologist journey discovery ingenious infernal evil grave Egyptian labyrinth heart action-adventure truly Last Revelation,acceptable game own own legacy indistinguishable
281,Grand Theft Auto ,bad police ruthless ruthless power struggle name,gameplay same previous lot fun
282,Schizm Mysterious Journey,year Several exploration newly-discovered planet last rescue team help exotic landscape first-person adventure game mechanical logical sound inventory-based immersive experience ultra-smooth navigation full degree panoramic background,thin story task
283,Abomination,week world unstoppable plague devastation cult plague demise mankind absolution name true faith damnation team covert heart insane plague globe ready war nightmare army,real-time tactical action game little underlying strategy
287,Pong The Next Level,addictive game incredible -D experience premise same opponent option single multi-player fun action-packed competition throw ball ready whole new level,Few likely thrill original new generation
