id,name,description,deck
421,Arcade Party Pak,first time radical skateboard special gravity-defying difficult original crunch punch munch game other brain addictive puzzle game color top multiple skill gut-wrenching intense Martian open steer clear TV contestant violent game show futuristic fight ever-increasing friend bid constant onslaught racecar action name game dog-eat-dog race first place preparation difficult money vehicle speed acceleration,great conversion pack worth
422,Midway Presents Arcade's Greatest Hits The Atari Collection ,way asteroid field eye-hand coordination brick time non-stop action never-ending stream insect infestation classic arcade large geometric battlefield humanity nuclear holocaust enemy missile all-out war enemy alien spacecraft,real tragedy unable famous
424,Archimedean Dynasty,darkness battle submarine vise grip sub thing cold premature death solid steel life ocean surface difficult threat conflict existence distance glimmer light darkness shock craft unknown object indicate destruction torpedo skill lucky next time world corrupt fanatical cut-throat role man mercenary reputation life danger future stake challenge world surface humanity deep fast vector engine deadly heart different impressive arsenal weapon tactical fighting ultimate test combat intelligent storyline adrenaline-pumping atmosphere tension motion simulation helm,computer good name hell
425,Area ,elite assignment alien threat alien infection base fate humanity balance,game deadly alien infection base
428,Armada,alien action-RPG world information technology fight game,everyone unique fun original
433,Armored Core,mercenary-for-hire organization trail action-packed access different design machine,perfect halfway mark
434,Armored Core ,sequel action battle new battle challenge unit interior equipment extension over-boost propulsion head-to-head split-screen customizable feature interior equipment extension,few errant gameplay reach console mech perfection
435,Armored Core Master of Arena,Detailed Total -Player,die-hard line
436,Armored Core Project Phantasma,creation different place variety first game destructive potential Experience intense -player combat split screen cable way brand new,thing add-on pack PlayStation
440,Armorines Project S W A R M ,few proud bloodthirsty futuristic battle suit arsenal alien bug invasion state-of-the-art multiplayer action ravenous giant story alien race survival small green blue planet distant galaxy complex underground house alien kind alien insect life insect late military threat secret experimental battle suit gigantic insect someone mission collection technology movie-like screen intelligent individual several huge different player mode,many dead horse
441,Army Men,game strategy sport sim shoot bring price action new product unique technology relevant game player comprehensive off-line support addition gateway whole host on-line such technical support,plastic soldier theme bit end result fun
442,Army Men D,combat new world green tan plastic life sergeant shoot ask kind soldier bazooka infantry flamethrower enemy special evil,major spit polish several development time lot
445,Army Men Air Attack,treacherous terrain backyard picnic nearby combat unique airship giant sand glass,bad taste fun little mission-based shooter
446,Army Men Sarge's Heroes,evil general plastero tense commando action different sarge dangerous enemy,version dated entry action combat genre
448,Army Men World War,peace choice battle enemy homeland thick war-torn ultimate victory await,decent sequel original superior
452,Assault Retribution,mind mission home humanity hellish uncharted alien epicenter alien city massive arsenal Multi-phased pulse shock magnetic bolt many maximum destruction,playable many review
460,Atomic Bomberman,new journey sense wonder discovery new experience such new product anything canvas vision title unique new medium product approach similar many creative image image technology art reality,year
462,Auto Destruct,family nihilistic cult revenge mysterious underground order score mission fire killer town Mission-based car combat action-packed varied search destroy oil real cross traffic camera in-car full overhead fuel ammo armor,city-based version
463,Automobili Lamborghini,spectacular first-class past ancient light breath hood,essential element speed
466,Azure Dreams,role apprentice tame role playing game other flexible story system random tower map generator exploration management outcome,successive bolder braver
467,Babe and Friends,first adventure classic family special day little sheep-pig part grand tournament world ultimate glory problem tournament many big city sheep big city competition,title way free time
469,Backstreet Billiards,way underworld authentic pool simulation adventure computer wide selection pool actual pool superb gameplay rich feel fame special pool player steady hand whole lot practice fine classic game,complete pool-simulation game
472,Baku Baku,zookeeper crazy kingdom animal food computer head-to-head mode level Variable game speed slow-mo full throttle clever true,addictive original two-player action
473,Bangai-O,destructive force universe giant notorious intergalactic crime syndicate way non-stop hardcore arcade action mind-bending titanic,compelling gameplay experience
477,Ballblazer Champions,Fire time hockey part part total insanity fiery future high competition fierce jump rotofoil plasmorb goal victory,everything remake
478,Ballistic ,new action puzzle game everyone simple endless fun goal center gate three-of-a-kind chain reaction multiple,simplistic nature game sheer mediocrity many game fun game new premise
479,Balloon Kid,balloon little town brother sister brother countless day beautiful balloon rainbow sky strong wind brother peril different trail many possible ground compete big gulp courage hand brother,balloon brother
480,Balls of Steel,innovative quicksilver universe savage fully-animated ricochet riot intense overload authentic gravitational real pinball table close whiplash action multi-ball mayhem oblivion magnetic ball accelerator conceivable pinball feature glory authentic pinball action fast finger-burning good hey good,pinball plenty
481,Banjo-Kazooie,Trouble witch jealous good herself helpless youngster tower big brother loud-mouthed partner hot trail mystical shaman gloomy mountain spooky way final confrontation summit,formula logical
482,Banjo-Tooie,earthquake hideous laser beam house everyone house body revive,breadth adventure detailed gameplay killer sound multiplayer mode fun experience
484,Baseball,realistic baseball game ballpark bottom ninth plate pitch smash deep center field home game real bat speed pitch double computer opponent state-of-the-art realistic game baseball popcorn time life,Baseball game strategy skill determination
491,Bass Rise,hyper-realistic fishing game maximum play different fish reel speed line analog controller,diversion casual fishing hour
492,Bassmasters ,Fish real authentic fishing equipment two-player fishing action frantic arcade series,game real-life bass-fishing expert beginner practice
495,Batman Robin,doomsday clock giant icicle thing innocent icy detective edge sleuth way salvation,game film
496,Batman Forever The Arcade Game,endless action spectacular fighting game incredible combat arsenal ready battle diabolical question,skin deep
497,Battle Arena Toshinden,tournament world part slugfest man combatant slip fate champion duff ready fight life,PC version good version
498,Battle Arena Toshinden ,timeless battle tournament survive third installment action level animal finish sexy bloodthirsty own weaponry style fresh gameplay responsive tournament ultimate force,version original
499,Battle Monsters,psychotic fist-and-fang goriest head-to-head combat bone-chilling interactive multi-leveled undead trade underworld blood drool multi-hit mid-air super-fast gouging lucky freak,game
508,An Elder Scrolls Legend Battlespire,role-playing world sinister tale mortal conflict celestial citadel black-hearted evil entire garrison solitary hero character character design system unrivaled power exact type hero conspire justice sword fyre blood track ominous splendid hi-color war multi-player mode v computer team v team ultimate,expansive scope hack-and-slash gameplay technical role-playing experience
509,BattleSport,home professional deathsport everyone taste action realism major league annihilation mph full-contact sport career high titanium exhaust hovertank,need game
510,Battle Stations ,Open fire friend computer fight death entire naval task force treacherous enemy,real-time s
511,BattleTanx,world virus female population few warrior post-apocalyptic future command mankind extinction way wasteland,gameplay complex world
512,BattleTanx Global Assault,year world post-apocalyptic wasteland society young son telekinetic key future own wicked scheme command sinister control foreign soil all-out global warfare,port version
514,Battlezone ,high-level own war-ravaged tank mission control superior alien technology true space race Soviet side command anti-gravity war on-the-fly morphable terrain full-scale unique such infantry mobile assault artillery deploy manage tank vehicle battle parachute safety sniper rifle unit distinct,special way adrenaline rush first-person action strategy resource management
515,Battlezone Rise of the Black Dogs,secret alien technology own game action-packed cold war thriller space-based tank combat sniper capability death-match intensity play power combat experience question,fun game good multiplayer support audio quality
517,Beast Wars Transformers,Evil,imperfect fun over-the-shoulder shooter
521,Beavis and Butt-head Do U ,graphic home PC favorite collegiate world attempt impossible same look original series hilarious new dialogue thing college life favorite mind-bending cast voice talent creator new hilarious dialogue look original series,fertile comedic ground severe shortage paucity mayhem
522,Beavis and Butt-head in Virtual Stupidity,joke store stuff bunch other cool stuff mind neck stuff butt cool gang game cool hope store dignity dignity entire world music many all-new voice talent show creator actual voice new animation show,Virtual exercise moronic humor
523,Beavis and Butt-head Bunghole in One,style baseball own unique spin world miniature golf wussy path cheese world hit television series movie,worth
524,Bedlam ,challenge earth bio mechanical menace mankind control team crack military remorse power way massive computer,mindless version school
525,Beetle Adventure Racing,adventure road fun dash blast own turn anything grab big-time air four-car mayhem,great deal fun excellent game sub-genre
527,Betrayal in Antara,empire mighty benevolent empire corruption war insidious mystery powerful other role-playing game magnificent combat system incomparable artificial intelligence plot unknown all-new fantasy realm,willing substandard linear gameplay enjoyable role-playing experience
528,Beyond the Beyond,Good heartbeat earth open air body youth soul poet heart lion young vigilant dragon evil world Beyond imagination endurance powerful class mighty lush top-down isometric view battle savage full victory swordsmanship power magic potent energy magic fatal dimension sea fire,familiar territory nothing likely new
529,Big Air,launch big air real apparel real authentic snow- ice-covered mountain breakneck unique international player split-screen action soundtrack,offensive game average
531,Big Mountain ,face time choice help gravity other Ready skill own gear equipment clothing,game backbone
533,Bio FREAKS,future government civil control new breed battle own arsenal pulse machine three-story multi-tiered such lava meat,bloody fighter other crazy stuff
534,Bio Motor Unitron,meteor able man-shaped master mighty mysterious fight ultimate prize own possible fearsome,answer
535,Bionic Commando Elite Forces,ultimate weapon perfect synthesis human machine mission fellow commando heart enemy territory futuristic unique overlord homeland utter destruction,graphical style original game new model way
539,Black Dawn,member top secret unit enemy desperate combat chopper life-or-death addictive action free-for-all shrapnel switchable flight total control angle attack different total visual control pressure Fully-loaded arsenal enemy annihilation,game loud gameplay
540,Blade Runner,company strategy science fiction classic investigative trade world visual ability test game environment PC dark gritty world interactive original movie Real-Time story structure unique experience time motion-captured own atmospheric smoke fog fire rain character notch talent original film Rich ambient multi-track audio environment immersive gaming experience original full screen high resolution game play camera gameplay experience role photo analysis machine replicant detection test police such directional color volumetric hardware acceleration,mood piece production line someone game
542,Blast Chamber,deathmatch future uniform time bomb death scramble thing crystal life fiery death,time
543,Blast Corps,pair defective nuclear route safe detonation site carrier direct route path carrier arrive disposal nothing adventure earth-shattering explosion hidden safe detonation seat bumpy ride,puzzle action cartridge
544,Blast Radius,Angry sole warrior legendary benign race brutal return flight craft battle way hope,expansion pack anything
545,Blaster Master Blasting Again,old champion weary heroic heir help treacherous half flesh half machine earth space demise way core stability entire planet crust way terrible infestation wood dusky husk secret alien mother,foray realm successful
546,Blasto,slimy alien Blast-O-Matic strap rocket pack galaxy-spanning action-packed adventure Enormous free-roaming interactive voice jump climb shoot big blue alien adventure beautiful absurd humor alien-shooting mayhem,good game many frustration
547,Blaze Blade Eternal Quest,land search fame treasure intricate landscape dangerous secret perilous dark unknown,pointless PC conversion substandard console role-playing game
548,Blazing Dragons,twisted mind member medieval adventure wacky life freakish mix voice-over wild arcade action dragon kitty-hurling brain-liquefying grip reality,something other usual mix good bet
549,Blood,soul servitude dark god reward score realism ice terror player mode online modem-play white-knuckled fiendish new enemy engine interactive true translucent water map editor own huge environment scar bullet ruin architecture ultimate horrific dark carny wonderful thing super other gruesome gib evil fire play soccer cultist flare gun gib sound space shudder,derivative violent tasteless fun
550,Blood Magic,sweeping enchantment conquest popular fantasy world time mysterious corner powerful battle ancient battle goblin dark chaos master realm,basic premise enough die-hard strategy able interface
553,Blood Omen Legacy of Kain,vampire blood man vengeance depravity vast world adventure puzzle different multiple weapon armor real time combat arsenal magic eldrich different wolf mist full motion animation twisted storyline,blood hapless townspeople pure pleasure
555,Bloody Roar,ready stake ground fierce blood match crush heat battle half-human new brutal,original year
556,Bloody Roar II,new millennium new breed emerges-altered violent own inner,marginal improvement second-best status due exclusion integral gameplay
558,Blue Stinger,meteor remote biotech research island uncontrollable madness secret horrifying revelation end life Earth,dyed-in-the-wool adventure new machine
559,Blues Brothers ,band way impressive repertoire ultimate band city pounce way much cash possible mission band time slide,category competitive special noteworthy
561,Body Harvest,Earth dead century alien last desperate chance time alien hideous invasion marine trip history goal alien body incredible action-packed adventure century history,something unique big dumb game void bill
562,Bomberman ,evil energy aid mysterious helper peace perilous conflict sinister end insane multi-player mode explosive action standard character custom,prolific character video game history
563,Bomberman Fantasy Race,fun action fast competition zany obstacle course battle-racing game,fire matter time track long list
564,Bomberman Hero,adventure galaxy evil day ice fire water new help rabbit handy free universe,bombastic buddy role platform protagonist
566,Bomberman World,long time group evil world darkness evil guy dangerous,bad game representative series
567,Boombots,far-out real time action,doubt game year
569,Bottom of the th ,famous re-live chase home real off-season free agent nail-biting history dramatic home run race play practice exhibition star season new scenaio mode,little reason game
572,The Bouncer,typical local bar chaos strike team descend roof young girl rescue retreat window escape combat environment place,great showpiece PlayStation
573,BRAHMA Force The Assault on Beltlogger ,annihilation control colony space forte humanity heavy mech split-second difference life death,title
574,Brain Dead ,world computer repair mysterious castle brain master plan playground twisted castle battle ultimate science half-human half-pet,improvement decade-old genre
575,Brave Fencer Musashi,ancient evil force kingdom princess wild comical adventure massive -D world platform-style action two-fisted sword advantage powerful magical Empire,killer unfortunate
576,Braveheart,movie game excitement legendary struggle freedom game real-time strategy action tartan th loyalty other Scottish form undermine castle havoc rival open crown future,premise Scottish game
577,Bravo Air Race,wilderness snow-capped mountain steel heart modern metropolis race world,trail new gold
578,Breath of Fire III,last extinct race unimaginable dormant dragon innocent child society fiery epic destiny,classic
579,Breath of Fire IV,war impenetrable swampland armistice noble war-ravaged front sister search journey mysterious young warrior next chapter epic tale magic mystery fate control,solid game
581,Brigandine,magical continent mysterious power ground ancient power world battle everyone able ability few talent lord country continent peace land,mediocrity
583,Broken Helix,voice main character expert attitude interactive voice dialog virtual square interactive world non-linear story leader marine platoon struggle good v alien warrior mission interactive music in-depth story line,ticket price tough-guy
585,Broken Sword The Shadow of the Templars,system original new explosive narrative interwoven story brutal murder influential statesman player sinister conspiracy forgotten medieval unique control game facial artistic genius comic book upcoming movie,mysterious deep mystery point-and-click adventure
586,Broken Sword The Smoking Mirror,point click game intrepid mysterious escapade intrigue deceit powerful nothing evil chance discovery sinister crime arcane power ancient civilization terror sacrificial bloody massacre veil mystery treasure drug baron duo divine guile essential order compelling adventure brain beating heart,new new storyline new threat world harmony
588,Brunswick Circuit Pro Bowling,night night engine ultra-realistic ball pin action lights-down glow-in-the-dark bowling fun own bowler play ultimate party game,fan game video
589,Brunswick Circuit Pro Bowling ,search perfect game party action play brand new realistic bowling,accurate die-hard happy simple game casual bowling fan
590,Bubble Bobble also featuring Rainbow Islands,antidote vaccine serum cure irresistible arcade burst blow rainbow-rocking gameplay generation generation,Bubble game bubble arcade action
592,Bubsy D,jump swim fly huge full zany humor escape rocket homeworld goodbye other wacky mess extra useful rocket fuel unique mode,action platform fun
594,Buck Bumble,evil band vicious mutant native bee hive world cyborg insect day insect world unearthly cybernetic power,look first generation game boat
595,Bug Too ,trip fantasy land half-breed character helicopter level real movie pseudo engine direction list adjustable difficulty,game few first
596,Bug ,gnat-brained action hero little talent bit style big dose ego big break role major motion interactive game plot bitchy widow lunch,traditional two-dimensional platform game third dimension offering
597,Bugs Bunny Lost in Time,video game adventure time machine time famous Martian rabbit underground road vintage convertible helicopter time s action fun classic comic humor,game great job wacky humor famous such whole lot fun
598,Burning Rangers,fire future life danger many prime objective helpless voice navigation system rest day intense gameplay,last good game
599,Burning Road,furious computer head head player real,game
600,Burnout Championship Drag Racing,ready unique unique customizable telemetry time card performance realistic engine suspension single entire Multi-player support modem,last pretty intense
601,Bushido Blade,soul ancient honor code samurai real world vast real critical blow mean difference death victory,genre
602,Bushido Blade ,sequel original realistic fighting game brutal life time mercy single blow difference life death new total first-person view option character own story path unique Two-handed swordplay mud-slinging body damage system well-placed strike dodge slash huge,year model sharp character complete system many
603,Bust A Groove,different beat realistic dance game funked-up generation dance-off friend fresh solo number motion-captured professional attack style funky rhythm groovin dance party body movin original gameplay,good follow-up
604,Bust A Groove ,time stuff house brilliant joint-cracking dance game,key word
607,Bust-A-Move ,quick ultra-intense addictive arcade puzzler sharp quick player action opponent race,OK game fair amount gameplay
608,Bust-A-Move ,puzzle game universe all-new humble pie gut hang ego bit complex rainbow challenge head-to-head hard,developer lotta puzzle whole lotta puzzle
609,Bust-A-Move ,scene gameplay new challenge whole family new balance new comprehensive custom,puzzle series sleepless release
610,Buster Bros Collection,addictive game-play quick brain-stomping classic arcade hard-core gamer casual player machine dynamite grab high White-knuckle action globe partner killer em em hiding,gameplay
612,C The Contra Adventure,member elite way alien,hard sorry game name
613,Caesars Palace ,jackpot real casino time house true-to-life actual casino total experience,adequate adaptation casino
614,California Speed,cool mph eye-popping velocity control vehicle grab wheel drive speed demon motor original plenty hidden night overcast sunny speed machine cool brilliant automatic manual,gameplay style series game grade
619,Car and Driver Presents Grand Tour Racing ' ,world prestigious globe exotic high-performance record time automotive publication official racing game,perfect
620,Cardinal Syn,simple prophecy bloody war board fantasy story war-torn land arsenal battle interactive dodge spike-lined main further hidden,
621,Carmageddon,year fatal earth atmosphere time live fear souls surface blood-thirsty undead problem solution death race race other ultimate new life sun-drenched off-world way entertainment human population challenge psychotic cold-blooded racing machine second place nothing way,visceral violent vehicular fun
622,Carnage Heart,war battle domination game warrior army cyber battle game diabolical mechs,mech game disc battlefield
623,Carnivores,planet prehistoric hunt lifetime eerie landscape someone something immense way ultimate dream nightmare flesh aim fire shot time shot struggle survival immersive pray elusive dinosaur own intellect behavior life lethal unique environment complete sun translucent water eerie prehistoric prehistoric art positional sound,solid simulation first-rate sound
624,Carnivores ,TEST new world prehistoric time long weaponry mountain range search surge dominance next kill abrupt haunting object prehistoric creature hunt time hunter world prehistoric realistic dense jungle open pistol shotgun sniper other victorious state-of-the-art equipment plan realistic world hot beating sun night world real-time translucent water weapon life blackness night survival hidden dinosaur action chill spine eerie shrill distant ever-present dinosaur second prepare crouch cover velociraptor,identical original gameplay enjoyable
625,Carrier ,st terrorism supreme part unit land murky water next corner power nuclear core wit brute force free prehistoric organism hideous monstrous infect humanity end human life human drone,awful game
626,CART Flag to Flag,open wheel circuit world true-to-life road oval street authentic actual customizable action,fan other great racer
628,Casper ,afraid challenge course face complex secret dismantled hit movie same great animation hilarious original character adventure family,player lot time doorway vent
630,Castlevania,scary wait basement night life corner thicker thicker stick cavern floor chance jugular courage stake sharp,end era
631,Castlevania Legacy of Darkness,magical warrior lair control powerful werewolf responsible sister disappearance power human sister sinister plan world unravel future legacy prequel,version original
632,Castlevania Symphony of the Night,descendant vampire bloodline world unspeakable terror mystery adventure legendary name different magical transform bat wolf etheral mist,action side scroller
633,Castrol Honda Superbike Racing,own rear wheel green championship team circuit world test track beginner pro speed world class rival,horrible game other strong simulation aspect much
636,Catz ,fun cat kitty litter purrrfect way frisky feline good owner health happiness hunger energy level cleanliness care well-being different wacky feline other special share successful owner unlock special trading other,title game
640,Chameleon Twist,peculiar rabbit magical pot strange land thing mess chameleon tongue action-adventure game mode basic gaming mode versus game,worth offensive way
641,Chameleon Twist ,twist chameleon courageous splendid adventure wiley tongue new gadget parachute way magical chameleon many secret,perspective cheap game
643,Chaos Overlords,task simple absolute ruler city chief conquest criminal business community local competition succesful right talent state-of-the-art equipment issue brilliant decisive tactical,addictive game
644,Charlie Blast's Territory,fun series time next level nervous total blast cool competition game single player wacky world-famous game designer,game score
645,Chase H Q ,game turbo-charged partner pursuit dangerous evil array souped-up hurry press head city roughest dirt busy line low-life,road
646,Chasm The Rift,enough time mutation fear air strange grotesque inexplicable clear atmosphere normal life something part special commando unit war time water rain dust distant serial port own level editor death-seeking incredible,small programming team standard shooter bad
649,Chessmaster II,extensive powerful chess game available head different chess human-like computer chess,customization system clear choice chess PlayStation
650,Chocobo Racing,many other world star high-speed racing game magical special speedy legendary hair-raising,stone willing unturned game nothing rehash everything
651,Chocobo's Dungeon ,search treasure other friend series mysterious,simple inoffensive replayable solace dark dank old-fashioned
652,Chopper Attack ,elite group international chopper objective hunt terrorist group world domination different intense strategic enemy radar ground enemy aircraft escort aircraft dangerous enemy territory way explosive arsenal ground air explosive ground air lock-on cluster different different weapon,fun
655,Chrono Cross,storyline creator development team multiple single story many different new adventure addition brand new battle system combat innovative element field system combo system player unparalleled flexibility elimination random pace game choice battle player character Japanese illustrator music original composer magic life,budget heart
657,ChuChu Rocket ,exclusive new on-line gaming experience form adrenaline puzzle game addictive game home complete mouse rocket vicious way concept simple challenge,short party experience idea bunch head-to-head
658,Circuit Breakers ,stomach game other game battle head roller coaster race choice spectacular dull corridor track hair-raising heart-in-the-mouth jaw buttock-clenching spectacular,rip-off series
659,The City of Lost Children,street mystery discover plot clever twist,helpless
662,Sid Meier's Civilization II,history version original critical social sconomic political decision empire history time discovery diplomacy destiny move game test time history,solid spectacular game strategy
663,Sid Meier's CivNet,Overall multiplayer game new world online strategy solo play hotseat game head head local area network modem access simultaneous play individual player secret strategy global domination doom stock manage multiple fast-paced multiplayer environment feature character gender nationality clothing aspect resource allocation defense production morale new unique vast array favorite,game addictive original format challenge human
666,ClayFighter ,ready clay state-of-the-art fighter reason sense humor window form eccentric brand new old bonus famous legal gag order identity,ClayFighter
667,Time Stalkers,mysterious world world hazardous many world adventurer name unconventional sub host,story passable contradictory dungeon battle experience system game
668,Clock Tower ,raw unedited horror adventure fear horrific serial killer man,scary cool
669,Clock Tower II The Struggle Within,suspense terror edge seat original time twist split mystery alive revenge multiple thirsty blood,pure first-generation PlayStation
671,Clue,deductive fun classic game life mystery human computer new mystery time board bright suggestion collect evidence sound music add suspense deduction ever-changing ever-challenging mystery,rendition popular board game
674,CodeName Tenka,realistic level jump duck way multiple huge gun endless intense mission complex tactical shoot-to-kill unpixellated laser dark,first-person shooter action
676,Colin McRae Rally ,ounce adrenaline unforgiving second nothin road clock,cookie-cutter formula casual long-term interest
677,College Slam,college authentic fight rivalry madness wild dunk backboard action head-to-head tournament season-long play gon school,cartoonish arcade action impossible special-power-up
678,Colony Wars,rebel entire activity hostile first moon exercise exercise deep space spectacular solar non-linear High-spec space craft arsenal weaponry in-game soundtrack cinematic special enemy,real experience spectacular cinematic
679,Colony Wars III Red Sun,galaxy dangerous adventure personal struggle battle fate,focus plot development presentation title date
680,Colony Wars Vengeance,time time vengeance century retribution local pilot space brutal mission mission all-out campaign vengeance cost,game head-turning diversity story propel average space shooter
684,Combat Mission Beyond Overlord,Western bocage village drive historical battle easy editor,sure anyone interested serious military good computer game lot
686,Command Conquer Red Alert,opportunity devious ruthless addictive fate world,new game engine basic play same
689,Command Conquer Red Alert - Retaliation,official stand-alone companion new true activity forbidden no-holds-barred battle supremacy ultimate fate conflict solo multiplayer battle forbidden war side complete all-new full motion video game console friend head-to-head game game console separate friend,game console few basic search-and-destroy start
693,Conker's Bad Fur Day,day birthday hangover way home raucous full bad humor graphic fan violence foul language racy innuendo steer clear,premise game gimmicky sordid skin true gem platformer
697,Contender,vicious world art crisp jab brutal knockout ultimate different own unique style fighter strength fight memory card friend,real decent
698,Contra Legacy of War,bent human annihilation invincible everything path hidden new two-player simultaneous action texture-mapped environment battle-field charge flank attack hero alien female super-warrior para-military steel veteran format whole new depth,real game
699,Cool Boarders,Unbelievable next generation control ultimate snowboarding experience texture alpine skill intensity board own unique design own unique attitude style board race replay CD dynamic playing experience,great snowboarding game good racer
700,Cool Boarders ,courage complete snowboarding game type terrain imaginable,game
701,Cool Boarders ,thunderous fresh powder wide range gut razor sharp enormous treacherous ice countless killer new opponent detail ice mountain side own specific performance board huge air,sequel third game series lot
702,Cool Boarders ,stalefish multi-player competition drive -year-old wonder kid style new body choice gear new steeper cliff huge sleeker,version
704,Countdown Vampires,eve grand party new hotel casino horror theme security horrific nightmare party fire fire mysterious black liquid vicious ominous warning casino shut desperate own survival duty new,game many survival-horror fan enjoyment
705,Courier Crisis,anti-mailman slacker goatee BMX-rated attitude psycho bike messenger concrete jungle cash,radical bunny-hop resultant product
706,Crash Bandicoot,vivid world marsupial mission brain captive arch nemesis big forehead tough,old-school platform game uncanny visual
707,Crash Bandicoot Cortex Strikes Back,bolder predecessor sequel lush new bonus game full brand-new sister old fun mischief able long jump crawl slide body slam run air jetpack,topnotch platform game
708,Crash Bandicoot Warped,ready new-style gameplay action dive ride motorcycle free-roaming airborne plane tiger extreme jet-ski other high-flying new Laser-Guided new new course return,time game place great expanse time space diverse level game fresh
709,Crash Team Racing,multiplayer kart game favourite bandicoot host high competition Ready,power mascot game many
710,Crazy Taxi,fearless cab driver goal shift race clock white-knuckle busy various meter cash route possible traffic little grip wheel cool,fun game release version
711,Creatures ,original world all-new,experience real
713,Crime Killer,st century police license breakneck speed crime distant blur shift arm law,game ammo-decked patrol car motorcycle vehicle crime anything way
714,CrimeWave,frantic driving-based shoot-em-up first class combat razor-sharp high-powered battle vast array destruction weaponry player split-screen action,game fun average
716,Critical Depth,ocean abyss twelve remarkable discovery mysterious incredible power unknown furious undersea battle power-hungry treasure bloodthirsty corporate maniacal sea-bound subversive government globe-spanning quest,worthy successor line
717,The Crow City of Angels,vigilante reborn justice unearthly wreak vengeance drug ninjitsu death-bitch army lowlife life death hell,title formula success
718,Cruis'n USA,pedal metal hang wild race roadside famous different difficulty street traffic rival course short distance -stage road race,dead conversion dead arcade game
719,Cruis'n World,world easy way new mode secret passport door n power different scenery world,worth
721,Crusader No Remorse,bad attitude chance incorruptible system utterly same pack former firepower command pity mercy remorse,time desire enough action
722,Crusaders of Might and Magic,ready ultimate battle good evil incredible fantasy-action world lone mercenary hardship midst mission land same evil family,experience decent adventure
723,Crush Roller,color power chase lifetime painting pesky,bad game way super-interesting
725,Crypt Killer,shotgun group mythical adventurer deep search eye open deep underground treasure way previous careful,nothing scary money abomination
728,Custom Robo,ready world hypertech heavy-barrel pilot seat state-of-the-art war machine not-too-distant future crime justice virtual game powerful innovative customization robot arsenal available market illegal secret robo crime,interest
729,Cutthroats Terror on the High Seas,way seedy world th century terror board sack ship fight country privateer ruthless pirate way crew rum treasure face mutiny hempen jig,accounting class life
732,Cyberia Resurrection,performance action hot gameplay music action mystery predecessor new standard transfighter combat engine gameplay same game action way -D game action quality digital music soundtrack motion capture nightmare,unconscious step
737,CyberTiger,book anything own golfer many other Real-time analog ball control draw add topspin mid-flight tall rough play green hidden secret,single obvious characteristic first game impressive
739,D,year dead night mass murder general hospital town perpetrator director hospital hospital number police unable daughter situation tragic scene hospital able riddle father,Stylish cinematic atmospheric good example computer
740,D ,terror-shrouded adventure northern region vast snowy landscape meteor airplane mysterious woman alien area,time support way possible
741,John Romero's Daikatana,legendary first person perspective action new dimension role time beautiful lethal powerful mercenary player team perilous vast array intelligent history different time mythical post apocalyptic future different monstrous different weapon secret,reviled PC game playable game
744,Danger Girl,rd person action-adventure videogame best-selling comic book series control beautiful leathal espionage-themed thrill-ride man,bad good Spider-Man PlayStation
745,Dare Devil Derby D,extreme land sea air space wild race outrageous own look feel funky,different play multiplayer replayable game
747,Dark Angel Vampire Apocalypse,dark prophecy land innocent angel retribution year arsenal powerful evil land,anyone action all-important element comprehension
748,Dark Arms,power evil sinister underworld darkness ultimate bio-weapon able evil world multiple hideous main action adventure thriller,neat little gothic
749,Dark Cloud,ancient evil destruction peaceful benevolent continent swoop time mysterious tale vivid world imaginative vibrant gameplay strong character-driven storyline new feature world real time world life storyline adventure,adventure simulation strategy addictive game
752,Dark Rift,hyper-active sci-fi theme exotic powerful large character realism arsenal multiple-hit back-crunching special individual character stereo sound,graphic average
753,Dark Savior,fierce role Garian sword-wielding warrior search hidden series mind-melting,Prospective first
756,Darklight Conflict,fighter alien race ultilmate battle duel supremacy secret weapon craft wage war way home outcome,good space combat nice
757,Darkstalkers ,sun humanity safety mysterious entity night sky evil secret power dark unleashed supernatural wage eternal war domination night meager fate humanity struggle,fighter
758,Disney's Darkwing Duck,crime mysterious criminal organization plan peaceful city heinous rampant city evil plan plug scheme crafty sinister fiendish floating fortress,side-scrolling platformer TV show
759,Dave Mirra Freestyle BMX,progressive freestyle top trick own riding style way free-roaming vert dirt street different multi-player soundtrack,major flaw game touch easy side
761,Daytona USA Championship Circuit Edition,excitement new full-screen brand new extra turbo-charged race mode host ghost car pace race finish line,original
763,Dead in the Water,aquatic arsenal high high tech customizable boats-all upgradeable player split screen combat cable link,vehicular combat try
764,Dead or Alive,game purist magic survival own,fantastic above-average gameplay fun game
765,Dead or Alive ,world chaotic place tragic murder sponsor legendary world state peace,Dead hardest-hitting game town
766,DOA Hardcore,world chaotic tragic murder sponsor legendary world state peace mission championship world place end century ability battle various character fate,good showpiece game worthwhile purchase fight-hungry
768,Deadlock II Shrine Wars,exciting game strategy resource management military control secret power ancient civilization interface ease use Free play net victory solo multiplayer capability new new new world new battle,perfect game galactic empire building star
769,Deadly Arts,bow intense combat simulation controllable complete arsenal face-busting body-smashing kick punch feature part low dirty street tournament,time money
773,Advanced Dungeons Dragons DeathKeep,evil icy prison havoc frozen wasteland way furious fun way eerie icy ominous fantastic final dungeon different insidious brain-busting fly careful environment natural perspective dead,new playability game inherent
