id,imdb_id,title,kind,votes,documents
0,120004,The Relic,movie,22130,"7.63473810e-02  6.87724095e-02 -1.31490969e-02  3.99278828e-02
 -4.79514178e-03 -3.03155637e-02  3.96140454e-02 -8.49123936e-02
  9.48828005e-02  4.35726390e-02  4.00565353e-02 -1.25349277e-01
 -2.57990519e-02 -6.88357484e-02 -1.12650553e-01  3.15734863e-02
 -3.92702589e-02  5.89489507e-02  3.16619050e-02 -5.85920745e-02
  5.24012846e-02 -1.58454745e-02 -1.16575652e-02 -2.10974600e-02
  2.09561666e-02 -6.96337831e-02 -1.01785159e-01  9.83364629e-02
  5.91653263e-02 -1.09196823e-01 -5.30453551e-02 -5.62008727e-02
 -4.84598122e-02  2.46574851e-02 -1.52885437e-02 -9.79774924e-02
  2.47300092e-02  1.99941598e-02  6.27860275e-03  4.20101390e-02
  3.33458096e-02 -2.63859169e-02  9.03256884e-02  3.09992809e-02
 -5.16905729e-02 -1.20471670e-01 -3.06614595e-02  3.96117865e-02
 -3.57019462e-02  6.57050338e-02 -9.62365842e-03  9.88458372e-03
 -8.61098346e-03 -1.06213656e-01 -4.09097111e-02 -1.98310104e-02
 -5.40972093e-02 -6.17144716e-02  2.63156068e-02 -5.58383642e-02
  1.64013433e-02  5.55728688e-02 -5.44939602e-02 -5.46805139e-02
 -3.42577467e-02 -3.51819655e-02 -3.80809186e-02  1.59603942e-02
 -4.19867272e-02  3.83065242e-02  4.02696946e-02  2.82114066e-03
  4.57286760e-02 -5.08491666e-02 -2.13463219e-01  2.04712213e-02
  6.90582949e-02 -1.42918213e-02  2.91313620e-02 -3.23997348e-02
  7.21112420e-02 -3.92919279e-02  1.70518651e-03 -4.31887496e-02
 -4.45372638e-02 -2.99471986e-02 -8.93044864e-02  5.59198118e-02
  5.50686705e-02  3.87235454e-02  2.25913253e-02 -2.68575033e-02
 -6.03969574e-02 -4.10634957e-03  4.43499098e-02  1.40584310e-02
  4.82163411e-02  4.61205875e-03  6.94402358e-02 -1.77732131e-02
 -1.18618759e-02 -5.03113990e-02  5.52061792e-02 -4.75255929e-02
  4.16983810e-02 -6.88927744e-02  2.17646580e-02 -2.96305413e-02
  1.09641879e-02 -8.38589911e-02 -6.89352615e-02 -8.34525613e-03
  1.72630011e-02  3.03047031e-02  4.44418021e-02  4.65831383e-03
 -1.41709272e-03 -3.19595935e-02  9.29068995e-02  6.64845354e-02
 -6.03520188e-02 -4.88301595e-02 -5.15677658e-02  1.51472625e-02
 -2.96440723e-02 -3.62148734e-02 -1.61597794e-02 -1.01148860e-02
  2.55254259e-02  2.82089533e-02 -7.43755266e-03 -4.05575621e-02
 -7.42828369e-02  1.00214491e-02 -2.63201096e-02  9.65282964e-03
  2.73862652e-02 -3.17334147e-03 -2.82954571e-02  1.23227363e-01
  1.31945292e-02 -5.30953052e-02 -3.48310284e-02  4.12071078e-02
  2.12919347e-02  3.08193525e-02 -2.79786353e-02  4.62203157e-02
 -7.93181176e-02 -5.72218128e-02  1.31662436e-01 -1.07452991e-02
 -9.60514443e-02  1.52236490e-01 -2.09857193e-02 -3.01428701e-02
 -2.26477529e-02 -6.54583015e-02 -1.23603671e-02 -6.15761551e-02
  6.21336021e-03  1.71816957e-03  6.95084852e-02 -1.27639471e-02
  4.01167926e-02 -7.50727635e-02  1.20044820e-01 -7.34738369e-02
 -1.90335442e-03  1.92673926e-02 -3.00030877e-02  3.52402332e-02
 -2.07071791e-02 -3.17789414e-02  5.76851041e-03 -7.81456742e-02
  2.87993310e-02 -5.55021697e-02 -4.25085404e-02 -3.98365694e-02
 -8.93645642e-02 -3.97563261e-02  8.41027054e-03 -5.78764373e-02
  3.44442330e-02 -1.28747828e-02  5.70256252e-02  2.04095579e-02
  5.00136432e-02  8.72488910e-02  8.89617322e-04 -2.88911707e-03
  5.54710837e-03  6.25997805e-02 -9.34695973e-02  3.99700090e-02
  5.54725797e-03 -4.57581763e-02 -9.76257060e-02 -2.99864750e-02
  3.55061550e-02  2.49721153e-02 -9.17649512e-02 -5.75677610e-02
  2.03790104e-02 -2.76501225e-02  4.56395168e-02  3.83523380e-02
  4.11688113e-03 -3.91045963e-02 -1.16880933e-01  6.47084105e-03
 -4.64581658e-02  4.60016288e-02 -6.50948319e-02  7.77832630e-02
  2.35026042e-02  1.77144406e-02 -5.42789235e-02  2.62657614e-02
 -6.38726926e-03  1.80053674e-02  3.33353304e-02  1.69873406e-02
  2.13218390e-02 -6.27764234e-02 -1.08713786e-02  9.90730136e-02
  3.05807824e-03  2.18797048e-02  5.06461200e-02 -3.03977368e-02
 -1.07680010e-01  3.82644018e-02  3.47092348e-02 -3.13826093e-02
  3.45713746e-02 -2.41714178e-03  6.41403348e-02 -1.50704477e-02
  1.13363737e-01 -6.26151889e-02 -3.30152923e-02 -7.44340784e-02
 -5.35015031e-04 -3.70468439e-02  3.25605841e-02 -1.58402527e-02
  2.65504276e-02 -6.54385286e-02 -1.90463197e-02  2.22305597e-03
  4.68644086e-02  4.04630175e-03  3.76304776e-02 -1.03912533e-01
  7.01944688e-03 -3.51530187e-02 -1.06148858e-01 -3.11335695e-02
  1.14213532e-03 -1.69088326e-02 -1.15761072e-01  4.28601284e-02
  2.85600849e-02  1.04025209e-01 -3.16078635e-02 -8.29924939e-02
 -1.12741253e-01  1.72499264e-02  1.92098318e-02  4.87881006e-02
  3.20187438e-02  2.84508200e-02  8.46488560e-02 -7.46064130e-02
 -4.50354183e-03 -2.25088082e-02 -4.13969152e-02 -1.39900058e-02
  2.31722215e-02  1.14680272e-04  6.98968626e-02  3.97776884e-02
  2.75460337e-02 -2.52864164e-02 -5.40129044e-02 -1.00494086e-02
  8.85379567e-02  8.64387363e-02 -6.91056794e-02 -1.04624243e-02
 -8.46496432e-02  2.00517093e-02  3.42479033e-03 -1.17181367e-02
 -3.57739916e-02  8.63646900e-03  4.58013198e-02 -7.07618863e-03"
1,120011,The Return of Dracula,movie,1000,"1.00050323e-01 -2.97951212e-03  4.80564662e-02  3.28020368e-02
 -3.03276218e-03  3.79389549e-02  3.31585942e-02 -1.14377080e-01
  9.81619699e-02  4.48021402e-02  8.82562131e-02 -1.37210768e-01
 -1.73271335e-02 -1.01268535e-02 -1.07039315e-01  1.62356630e-02
  2.55388532e-02  8.28689264e-02  4.48216808e-02 -4.80795101e-02
 -1.29282426e-02  1.69747800e-02  6.77552515e-03 -5.18636898e-02
  7.83180704e-03 -5.12446189e-02 -8.96207848e-02  1.17136741e-01
  1.26566984e-01 -7.54403435e-02  5.61274314e-02 -1.25142312e-02
 -3.01278562e-02  4.24278415e-02  3.19874043e-03 -1.80142656e-02
  9.31363008e-02 -1.12018196e-02 -2.07083566e-04  1.05930873e-01
  3.23536153e-02 -1.45835098e-02  1.33455238e-01  1.61307199e-02
  3.97513253e-02 -8.04256517e-02 -5.46622763e-02  3.80283278e-02
  1.70543437e-02  2.60346082e-02 -2.65068521e-02  5.88196735e-02
  1.34775590e-03 -3.66933394e-02 -2.96394192e-03 -5.04970161e-02
 -9.20316735e-02 -2.84350648e-03 -1.24770962e-02 -8.09020996e-02
  7.23830243e-02  1.10610651e-01 -1.42353992e-02 -8.04379522e-03
 -1.18777217e-02  8.85290029e-03 -7.23640286e-03  3.21891940e-02
  9.74694077e-03  4.76285973e-02  5.08896185e-02  2.86289916e-02
  7.50701281e-03  1.28883050e-02 -1.46539493e-01  2.81565141e-02
  1.30453304e-02  2.11359141e-02  1.14025583e-01  5.65665109e-02
  7.18894491e-02 -3.19563418e-02  1.77216822e-02 -8.62464126e-03
 -4.69033378e-02  1.51828065e-02 -6.80904778e-02  7.33175472e-02
  2.32730788e-02  2.05098366e-02  6.88358229e-03 -3.82721570e-02
 -1.07005839e-01 -7.47580236e-02 -4.65343242e-02 -6.05773926e-02
  2.60816302e-02 -1.30012668e-02  3.92197589e-02 -1.18911432e-01
 -3.42581613e-02 -6.52472048e-02  5.86734694e-02 -8.96407147e-02
  5.01410426e-02 -1.18532765e-01  3.09734734e-02 -7.96279129e-03
 -2.73163465e-03 -6.97354687e-02 -2.83309002e-02 -2.21286696e-02
  4.04812560e-02 -6.03224501e-02  4.62528151e-02 -4.24778218e-03
 -1.84928738e-02 -4.04653744e-03  6.32819351e-02  1.07205449e-01
 -1.45139110e-02  2.77554259e-02 -5.14023450e-02  6.75310407e-03
 -3.50523968e-02 -2.26153938e-02  3.45658283e-05 -1.85194161e-02
 -4.50241712e-02  2.05925143e-02 -4.74934481e-02 -1.02823997e-01
 -1.06895602e-01  4.86126335e-02 -4.51548051e-02 -4.31244519e-02
 -2.15824672e-02  7.20432826e-03  3.65712691e-03  7.11159220e-02
  4.15344238e-02 -2.25618324e-02 -2.37264828e-02  6.06888752e-02
  6.43282521e-03  5.70859325e-02 -1.58889148e-02  1.82632135e-02
 -8.90390824e-02 -6.33797938e-02  1.28914969e-01  4.37569326e-02
 -4.68834079e-02  6.96102843e-02 -3.28344228e-03 -3.54165836e-02
 -1.75279890e-02 -1.23999771e-01 -6.10452769e-03 -8.54093591e-02
 -8.28334263e-02  8.96263901e-02  8.21209343e-02  5.45704121e-02
 -3.50005481e-02 -3.15227898e-02  6.07268664e-02 -7.27978142e-02
  2.78270488e-02  4.20370297e-02 -3.12143443e-03  1.40928930e-02
 -1.35211555e-03 -1.03254824e-01 -2.56148358e-02 -9.84752421e-03
  8.99620835e-02 -1.60055355e-02 -3.01589187e-02 -3.06919643e-03
 -4.04258261e-02 -3.06060168e-02 -8.34593481e-03 -7.84286188e-02
  9.91073920e-03 -4.70590397e-02 -1.00739148e-02  3.96368844e-02
  9.30396878e-02  3.28574667e-02  1.82627853e-02  2.22006039e-02
 -9.87352644e-03  5.20723304e-02 -5.64618792e-02  7.02351161e-02
 -5.34898408e-03  5.29604542e-03 -1.13037216e-01 -2.18892000e-02
  1.09587689e-02  4.80703237e-02 -4.48483837e-02 -4.19428300e-02
  4.62330701e-02 -7.89477290e-02  2.89340895e-02  4.16555599e-02
  2.75679608e-02 -1.12018819e-01 -9.77687446e-02 -3.38309152e-03
 -2.67498250e-02  1.22643296e-02 -8.55432627e-02  2.30351662e-02
  1.41389808e-02  5.19384267e-02 -1.41158902e-01  1.21291803e-02
 -2.39830796e-02  1.93356884e-02  5.83960280e-02  6.42426160e-04
  1.40617526e-02 -4.03634675e-02  5.27823020e-02  8.04952505e-02
 -4.80947689e-03 -4.26311882e-03  2.48307987e-02 -2.57166648e-02
 -1.25855738e-01  2.71572191e-02  8.22984345e-02 -2.86616111e-02
  1.70672670e-02 -4.53134654e-02  1.42442353e-02  1.92360391e-02
  7.40851577e-02 -1.20507688e-01 -5.13395971e-02 -9.44970579e-02
 -1.52214206e-03  4.21414278e-02  3.13540089e-02 -3.60979353e-03
  1.94851622e-02 -5.43116355e-02  2.15668970e-02  8.55768943e-02
  1.09647167e-01  6.44369320e-02  4.13743622e-02 -2.71125521e-02
  1.45183485e-02  5.48973862e-03 -7.98585853e-02 -5.35141303e-02
 -2.56778951e-02 -8.11593192e-02 -4.48655109e-02 -1.98077766e-02
  2.98271958e-02  1.52090267e-01 -6.25674676e-02  1.92752760e-02
 -1.70811244e-01 -4.61610288e-02 -2.16142304e-02  2.26877174e-02
  5.08864267e-02  4.37288868e-02  4.84357561e-02 -2.58139785e-02
 -3.15654521e-02 -4.57793255e-02 -5.82425537e-02 -5.56416414e-03
  6.66292152e-02 -9.74662936e-03  4.41014815e-02  6.08806999e-02
  1.99426145e-02 -1.63543273e-02 -5.30196209e-02  8.80338708e-03
  4.42307141e-02  1.01883246e-01 -8.01640725e-02  2.97206957e-02
 -1.48713968e-01 -4.94375424e-02 -6.91559461e-02  1.85970384e-03
 -9.36804012e-03 -3.33416997e-02  4.51893709e-02 -2.48392845e-02"
2,120018,The Swindle,movie,1902,"7.54663377e-02  3.74674116e-02 -1.59890311e-02  6.28302438e-02
 -3.34809167e-02  9.08978780e-03  1.24547141e-02 -4.55965315e-02
  8.88966152e-02  2.98074995e-02  3.90893845e-02 -6.88398452e-02
 -2.91392008e-02  1.45972116e-02 -1.59515381e-01  7.46779669e-02
  2.48976208e-02  8.72973487e-02  3.16399620e-03 -4.33015369e-02
  3.82235618e-02  1.49879456e-02  1.63065592e-02 -5.00615438e-03
  6.31873721e-02 -4.04686275e-02 -3.67385546e-02  6.22751145e-02
  6.57550721e-02 -3.00484612e-02 -2.03372410e-02 -2.94027783e-02
 -2.62414841e-03  4.99810718e-02 -5.33785139e-04 -2.60142599e-02
  6.20054517e-02 -8.31810633e-03  3.80047389e-02  2.98824083e-02
  8.28208015e-02 -4.39331418e-02  1.15835502e-01  5.73221842e-03
 -6.09381539e-02 -8.51494925e-02 -7.20808847e-02  4.90826198e-02
 -2.15675717e-02  5.55494626e-02  1.61189125e-02  5.80317179e-02
  2.95969645e-02 -9.56602097e-02 -3.92750331e-02 -2.54956654e-02
 -6.24893733e-02 -5.27279718e-02  4.31583949e-02 -6.97072347e-02
 -1.21447245e-02  5.55984860e-02 -6.95411137e-02  1.06777010e-02
 -2.27900914e-03 -2.72817612e-02 -4.74393935e-02  1.13638015e-02
  2.82520113e-02  2.56242298e-02  2.60567438e-02  4.39212436e-02
  5.24752481e-02  2.66180493e-02 -1.18494306e-01  3.10814267e-02
  3.86196009e-02  1.01587568e-01  5.82291285e-02  9.93002029e-04
  1.68093727e-02 -6.48558253e-02 -3.06846755e-02  2.34513056e-03
 -6.50958107e-02 -2.38115220e-02 -1.11082564e-01  8.99018787e-02
  7.25466410e-02  4.28583054e-02  6.76333110e-02 -5.59852237e-04
 -9.78739829e-02 -9.00986081e-02 -6.08674912e-02 -4.97476487e-02
  1.44500732e-02 -2.08960034e-02  3.08209374e-02 -3.87041001e-02
 -4.64985711e-02 -2.78776260e-02  5.88614146e-02 -2.10207985e-03
  4.21233404e-02 -4.48815482e-02  6.22994559e-03 -5.24381456e-02
  7.32989084e-02 -1.13933291e-01 -2.45786394e-02 -6.29316057e-03
 -1.73341660e-03 -1.82176885e-02  4.93801662e-02 -2.38488061e-02
  2.69944327e-02 -3.92394293e-02  5.84585553e-02  1.17875616e-01
 -8.52294195e-02  1.64758591e-03 -6.54994420e-02  3.12258403e-02
  1.20296478e-02 -6.32235890e-02 -5.87081909e-03 -5.39083027e-02
  5.26232038e-02  1.07134864e-02 -3.76561483e-02 -8.63579341e-02
 -2.75319417e-02 -1.81155489e-02 -3.42452185e-02 -3.77100990e-02
  1.21327355e-02  5.05937849e-02 -5.57918322e-02  1.00494930e-01
  4.06158538e-02 -1.02717082e-01  3.65324475e-02  2.93731689e-02
  7.47306006e-03  3.68725005e-02 -5.02757118e-02  1.81134542e-03
 -7.84794490e-02 -3.72837612e-02  9.97539702e-02 -2.49760037e-02
 -4.84462011e-02  6.68752761e-02 -1.32126581e-02 -1.48264567e-03
 -8.86037917e-02 -4.16027251e-02  6.34293329e-03 -4.63790894e-02
 -2.22678412e-02  5.68821544e-02  7.90259952e-02 -1.48082915e-02
 -2.71482922e-02 -1.82001023e-02  5.87655930e-02 -7.94031052e-02
  4.40775553e-02  1.65351232e-02 -4.14048604e-02 -2.69733611e-02
 -3.81010146e-02 -1.29967462e-01 -2.90539151e-02 -5.45821417e-02
  6.33702959e-02 -3.96716552e-02  1.02974120e-03  2.09408715e-02
 -6.40024458e-03 -4.62873550e-02 -4.84052386e-02 -3.70492481e-02
  1.34567987e-02 -7.85587856e-02  1.31266912e-02  1.00346520e-01
  4.39936320e-02  3.74093283e-02 -7.77308146e-03  3.04903757e-02
  2.91486922e-02  4.44436527e-02 -3.82724035e-02  4.22573998e-02
 -3.88185410e-02 -1.71908197e-02 -2.06465948e-02 -7.21224830e-02
  4.78108724e-03  6.28611247e-02  5.00161307e-03 -1.89016433e-02
  3.30947694e-02 -3.22824433e-02 -5.50497146e-03  6.57137235e-03
 -2.96652658e-02 -5.75961158e-02 -2.89265315e-03  2.03154882e-02
 -8.39914594e-03  6.69582912e-02 -3.35801897e-02  3.65338098e-02
 -7.70697281e-04  5.14315651e-02 -1.48048310e-01  3.13677561e-02
 -8.50477673e-03 -2.38545736e-03  1.21641613e-02  3.28285581e-02
  3.81295340e-02  1.73326901e-02  1.02535974e-01 -5.13458252e-03
 -2.45816367e-02 -1.53970264e-02  4.86028762e-03 -5.79659598e-02
 -3.24227469e-02 -5.47917684e-03  4.73633267e-03 -1.75443377e-02
  4.77672759e-02 -2.83680870e-02  2.98346565e-02 -1.23356410e-02
  6.26930055e-02 -7.08986464e-02 -7.08253043e-03 -3.69989304e-02
  6.11028217e-03  3.46993946e-02  4.54751878e-02 -2.44694664e-02
  5.30869166e-02 -4.42490351e-02  3.07809739e-02  2.96238491e-02
  4.19027238e-02  3.35757846e-02  5.04252116e-02  2.31414068e-02
  3.83652505e-02  1.63821266e-02 -6.27222501e-02 -3.32164310e-02
 -1.46001180e-02 -4.52722254e-02 -7.27564494e-02 -1.16918201e-03
 -2.97001430e-05  1.58769153e-01 -9.21412877e-02 -3.69096484e-02
 -1.25615075e-01 -4.18900535e-02  1.23164767e-02  5.42786462e-02
  5.29618944e-02  1.82651338e-02  2.95061838e-02 -2.99702599e-02
 -1.84564136e-02 -3.39555286e-02 -5.78943888e-02  3.23776972e-03
  2.15869177e-02 -4.18069590e-02  2.94407890e-02  8.49085308e-02
  3.33214374e-03  6.49847303e-03 -8.57701983e-02  1.79520562e-02
  3.87777374e-02  1.03839284e-01 -9.54615275e-02  5.08088611e-02
 -1.02880932e-01 -1.15465437e-02 -9.77448055e-03 -1.36588869e-03
  7.53784180e-03 -6.13624936e-02 -6.14329747e-03 -4.11483220e-02"
